"id","property_code","property_serial","offer_type","title","description","property_type","location","allocation_status","assigned_to","price","created_at","image","land_area","builtup_area","floor_area","no_of_floors","bedrooms","bedrooms_ac","bedrooms_non_ac","bathrooms","parking_spaces","built_year","furnishing_status","features","owner_id","updated_at","deleted_at","latitude","longitude","city","district","project_id","rental_yield","lease_term_months","maintenance_cost","commission_percent"
"155","RA-000119","119","rent","Aquaria 2 bedrooms rent - Colombo 5","8/6","apartment","Kirimanadala mawatha","unallocated","2","200000.00","2026-05-17 17:47:28","main_6a09b24fcc855.jpg",NULL,NULL,"679.98",NULL,"2","2","0","1","0",NULL,NULL,"[""swimming_pool"", ""roof_garden"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","205","2026-05-17 17:49:28",NULL,NULL,NULL,"Colombo 5","Colombo 5",NULL,NULL,"11",NULL,NULL
"156","RA-000120","120","rent","Capital Heights 2 bedrooms rent - Rajagiriya","Capital Heights 2 bedrooms","apartment","Buthgamuwa road","unallocated","2","280000.00","2026-05-17 20:42:35","prop_6a09dae3e4f703.00250799.jpeg",NULL,NULL,"1179.99",NULL,"2","2","0","2","1","2021","fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","206","2026-05-17 20:42:48",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"157","RA-000121","121","rent","Astoria 3 bedrooms rent - Colombo 3","5B Astoria Tower 2","apartment","Duplication road","unallocated","2","480000.00","2026-05-21 10:38:30","prop_6a0e934e5e7937.18056478.jpeg",NULL,NULL,"1280.00","35","3","3","0","2","1",NULL,"unfurnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","207","2026-05-21 10:38:30",NULL,NULL,NULL,"Colombo 3","Colombo 3",NULL,NULL,"11",NULL,NULL
"158","RA-000122","122","rent","Elements 3  bedrooms rent - Rajagiriya","16 B Elements","apartment","Buthgamuwa road","unallocated","2","300000.00","2026-05-21 12:38:49","prop_6a0eaf81624779.74521541.jpg",NULL,NULL,"1680.00",NULL,"3","3","0","2","1","2017","fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","208","2026-05-21 12:39:13",NULL,NULL,NULL,"Rajagiriya","Rajagiriya",NULL,NULL,"11",NULL,NULL
"159","SA-000123","123","sale","Fairmount 3bedrooms rent - Rajagiriya","12 D Fairmount","apartment","Buthgamuwa road","unallocated","2","71000000.00","2026-05-27 14:25:04","prop_6a16b1681675d4.36856148.jpg",NULL,NULL,"1580.00",NULL,"3","3","0","2","1","2015",NULL,"[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water""]","209","2026-05-27 14:25:04",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"11",NULL,NULL
"160","SA-000124","124","sale","Prime Grand 3 bedrooms sale - Colombo 7","26D","apartment","Ward place","unallocated","2","147000000.00","2026-05-27 14:40:31","prop_6a16b5079c6647.94930065.jpeg",NULL,NULL,"1480.00","32","3","3","0","2","1",NULL,"fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","210","2026-05-27 14:40:31",NULL,NULL,NULL,"Colombo 7","Colombo 7",NULL,NULL,NULL,NULL,NULL
"161","RA-000125","125","rent","Sky gardens 4 bedrooms apartment at Rajagiriya -Rent","21 A Apartment at Sky gardens fo rent","apartment","Buthgamuwa road","unallocated","2","430000.00","2026-05-29 09:46:16","prop_6a1913102c7a86.31927316.jpg",NULL,NULL,"2250.00","40",NULL,"4","4","4","2","2015","fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","211","2026-05-29 09:46:16",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"11",NULL,NULL
"162","SA-000126","126","sale","Sky Gardens 2 bedrooms Sale - Rajajgiriya","owns 10D Sky gardens","apartment","Buthgamuwa road","unallocated","2","60000000.00","2026-06-01 12:47:35","prop_6a1d320f1b7108.35025553.jpeg",NULL,NULL,"1100.00","40","2","2","2","2","1","2015",NULL,"[""swimming_pool"", ""sauna"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","212","2026-06-01 12:48:04",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"11",NULL,NULL
"164","SA-000127","127","sale","Elements  3bedrooms sale - Rajajgiriya","12 D Elements","apartment","Buthgamuwa road","unallocated","2","95000000.00","2026-06-01 13:01:23","prop_6a1d354b400f38.80220932.jpg",NULL,NULL,"1680.00","40","3","3","0","2","1","2017",NULL,"[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","214","2026-06-01 13:01:58",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"11",NULL,NULL
"165","SA-000128","128","sale","Altair 3 bedrooms Sale - Colombo 2","35F","apartment","Altair Street","unallocated","2","137000000.00","2026-06-01 13:22:28","prop_6a1d3a3c107512.80287780.jpeg",NULL,NULL,"1486.00",NULL,"3","3","0","2","1","2020","fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","215","2026-06-01 13:22:28",NULL,NULL,NULL,"Colombo 2","Colombo 2",NULL,NULL,NULL,NULL,NULL
